,language_detected
0,en
1,en
2,en
3,en
4,en
5,en
6,en
7,en
8,en
9,en
10,en
11,en
12,en
13,en
14,en
15,en
16,en
17,en
18,en
19,en
20,en
21,en
22,en
23,en
24,en
25,en
26,en
27,en
28,en
29,en
30,en
31,en
32,en
33,en
34,ca
35,en
36,en
37,en
38,en
39,en
40,en
41,en
42,en
43,es
44,en
45,en
46,en
47,en
48,en
49,en
50,en
51,en
52, 
53,en
54,en
55,en
56,en
57,de
58,en
59,en
60,en
61,en
62,en
63,en
64,en
65,en
66,en
67,en
68,en
69,en
70,en
71,en
72,en
73,en
74,fr
75,en
76,en
77,en
78,en
79,en
80,en
81,en
82,en
83,en
84,en
85,en
86,en
87,en
88,en
89,en
90,en
91,en
92,en
93,en
94,it
95,ja
96,en
97,en
98,en
99,en
100,en
101,en
102,en
103,en
104,it
105,en
106,en
107,en
108,en
109,en
110,en
111,en
112,en
113,en
114,en
115,en
116,en
117,en
118,en
119,en
120,en
121,en
122,en
123,en
124,en
125,en
126,en
127,ca
128,en
129,en
130,en
131,en
132,en
133,en
134,en
135,en
136,en
137,en
138,en
139,en
140,en
141,en
142,en
143,en
144,en
145,en
146,de
147,de
148,en
149,en
150,en
151,en
152,tl
153,tl
154,en
155,fr
156,en
157,en
158,en
159,en
160,en
161,en
162,en
163,en
164,en
165,en
166,en
167,en
168,fr
169,en
170,en
171,en
172,en
173,en
174,en
175,en
176,en
177,en
178,en
179,en
180,en
181,en
182,de
183, 
184,en
185,en
186,en
187,it
188,en
189,en
190,en
191,en
192,en
193,en
194,en
195,en
196,en
197,en
198,en
199,en
200,en
201,en
202,en
203,en
204,en
205,en
206,en
207,en
208,en
209,it
210,en
211,en
212,en
213,en
214,ja
215,ja
216,ja
217,ja
218,en
219,en
220,en
221,en
222,en
223,es
224,es
225,en
226,en
227,en
228,en
229,en
230,en
231,en
232,tl
233,tl
234,en
235,tl
236,en
237,en
238,ko
239,en
240,es
241,en
242,en
243,en
244,en
245,en
246,en
247,en
248,en
249,en
250,en
251,en
252,en
253,en
254,en
255,en
256,en
257,en
258,en
259,en
260,en
261,en
262,en
263,en
264,en
265,en
266,en
267,en
268,en
269,it
270,ro
271,ro
272,en
273,ca
274,ro
275,en
276,en
277,en
278,en
279,en
280,en
281,en
282,en
283,en
284,en
285,en
286,en
287,en
288,en
289,en
290,en
291,en
292,en
293,en
294,en
295,en
296,es
297,en
298,en
299,en
300,en
301,en
302,en
303,en
304,en
305,en
306,en
307,en
308,en
309,en
310,ca
311,en
312,en
313,en
314,en
315,en
316,en
317,en
318,en
319,en
320,en
321,en
322,en
323,en
324,en
325,en
326,en
327,en
328,en
329,en
330,en
331,en
332,en
333,en
334,en
335,en
336,en
337,en
338,en
339,en
340,en
341,en
342,en
343,en
344,en
345,en
346,en
347,en
348,en
349,en
350,en
351,en
352,en
353,en
354,en
355,en
356,en
357,en
358,en
359,en
360,en
361,en
362,en
363,en
364,en
365,en
366,en
367,en
368,en
369,en
370,en
371,en
372,en
373,en
374,en
375,en
376,en
377,en
378,en
379,en
380,en
381,en
382,en
383,en
384,en
385,en
386,en
387,en
388,en
389,en
390,en
391,en
392,en
393,en
394,en
395,en
396,en
397,en
398,en
399,en
400,es
401,es
402,en
403,es
404,en
405,en
406,en
407,en
408,en
409,en
410,en
411,en
412,en
413,en
414,en
415,en
416,en
417,en
418,en
419,en
420,en
421,en
422,en
423,en
424,en
425,en
426,en
427,en
428,en
429,en
430,en
431,en
432,en
433,en
434,en
435,en
436,en
437,en
438,de
439,en
440,en
441,en
442,en
443,en
444,en
445,en
446,en
447,en
448,en
449,en
450,en
451,en
452,en
453,ja
454,fr
455,en
456,en
457,en
458,en
459,en
460,en
461,en
462,en
463,en
464,en
465,en
466,en
467,en
468,it
469,en
470,ja
471,en
472,en
473,en
474,en
475,en
476,en
477,en
478,en
479,en
480,en
481,en
482,en
483,en
484,en
485,de
486,ja
487,ja
488,ja
489,ja
490,ja
491,ja
492,en
493,en
494,en
495,en
496,en
497,en
498,en
499,en
500,en
501,en
502,en
503,en
504,en
505,en
506,en
507,en
508,en
509,en
510,en
511,en
512,en
513,en
514,en
515,   
516,et
517,en
518,en
519,en
520,en
521,en
522,en
523,en
524,en
525,en
526,en
527,en
528,es
529,en
530,en
531,ja
532,en
533,ja
534,ja
535,ja
536,ja
537,en
538,ja
539,ja
540,en
541,en
542,en
543,en
544,en
545,en
546,en
547,en
548,ja
549,en
550,en
551,en
552,en
553,it
554,en
555, 
556,en
557,en
558,es
559,en
560,en
561,en
562,es
563,es
564,en
565,en
566,en
567,en
568,es
569,fr
570,fr
571,en
572,en
573,en
574,en
575,es
576,tr
577,es
578,en
579,en
580,en
581,en
582,en
583, 
584,nl
585,en
586,en
587,en
588, 
589,en
590,en
591,en
592,en
593,en
594,en
595,en
596,en
597,en
598,es
599,ru
600,tr
601,en
602,tr
603,en
604,en
605,en
606,en
607,en
608,es
609,es
610,en
611,en
612,en
613,en
614,en
615,tr
616,en
617,ca
618,tr
619,en
620,en
621,en
622,en
623,en
624,en
625,ru
626,en
627,en
628,en
629,ru
630,en
631,en
632,en
633,pt
634,en
635,en
636,en
637,en
638,en
639,en
640,en
641,en
642,en
643,en
644,en
645,ca
646,fr
647,en
648,en
649,en
650,en
651,en
652,es
653,en
654,en
655,es
656,en
657,ca
658,es
659,en
660,it
661,en
662,it
663,en
664,en
665,es
666,en
667,en
668,en
669,en
670,en
671,it
672,es
673,en
674,en
675,sl
676,en
677,it
678,en
679,en
680,en
681,en
682,en
683,fr
684,en
685,it
686,it
687,it
688,it
689,it
690,en
691,en
692,en
693,en
694,en
695,en
696,en
697,en
698,en
699,en
700,es
701,ca
702,en
703,en
704,it
705,en
706,en
707,en
708,en
709,en
710,en
711,en
712,en
713,en
714,en
715,en
716,en
717,en
718,en
719,en
720,en
721,en
722,en
723,en
724,en
725,en
726,en
727,en
728,en
729,en
730,en
731,en
732,en
733,en
734,en
735,en
736,en
737,en
738,en
739,en
740,en
741,en
